file,size,width,height,total_area,area,area_count
101881731,385.356,1482.0,1373.0,2034786.0,655246.0,35
103109948,301.995,1275.0,1317.0,1679175.0,523433.0,21
103614205,123.242,756.0,822.0,621432.0,170818.5,12
104101927,43.941,468.0,682.0,319176.0,142992.0,13
104357814,47.252,387.0,813.0,314631.0,108415.5,17
104357815,30.013,293.0,639.0,187227.0,90968.0,3
104357817,37.426,569.0,452.0,257188.0,108031.5,4
104907575,67.444,690.0,548.0,378120.0,96495.5,5
116016718,50.854,455.0,501.0,227955.0,65232.0,7
119422707,3521.819,4454.0,4415.0,19664410.0,6578548.5,184
119422952,280.469,840.0,1928.0,1619520.0,483105.0,10
119917133,338.52,1327.0,1829.0,2427083.0,1004320.0,19
126381586,271.391,1130.0,1278.0,1444140.0,135628.5,35
126381588,164.974,692.0,1254.0,867768.0,98973.5,57
126381594,121.891,597.0,1050.0,626850.0,62772.5,13
127649594,97.936,498.0,1118.0,556764.0,66790.0,8
127649606,213.73,733.0,1470.0,1077510.0,204578.5,24
130730813,27.484,338.0,410.0,138580.0,24595.0,15
132613254,64.734,634.0,440.0,278960.0,105376.0,6
134714700,69.455,492.0,622.0,306024.0,12850.0,3
134714701,129.119,1016.0,685.0,695960.0,0.0,0
136128142,290.645,980.0,1581.0,1549380.0,288028.5,22
136128143,49.687,559.0,478.0,267202.0,45430.0,7
136128144,75.166,624.0,582.0,363168.0,116227.5,10
137007454,273.881,1406.0,867.0,1219002.0,216491.5,16
137007455,148.514,836.0,779.0,651244.0,92378.0,8
139146552,8.867,151.0,323.0,48773.0,14245.0,3
139146568,40.841,569.0,409.0,232721.0,81084.5,10
144384815,117.444,771.0,676.0,521196.0,136413.5,8
144848258,107.566,845.0,656.0,554320.0,59424.0,1
147397541,25.334,347.0,510.0,176970.0,57088.5,6
148521975,17.979,240.0,450.0,108000.0,42987.5,2
148788621,50.834,409.0,466.0,190594.0,44302.5,7
151179182,56.881,730.0,539.0,393470.0,168750.0,13
152164339_incomplete,1060.398,2371.0,3625.0,8594875.0,1066816.5,18
152582726,29.224,397.0,345.0,136965.0,63059.0,8
153028544,43.712,485.0,517.0,250745.0,67340.0,6
15309700,139.079,1049.0,825.0,865425.0,391998.5,24
15311494,132.337,986.0,771.0,760206.0,334803.5,12
154217854,90.667,1280.0,510.0,652800.0,153729.0,10
154221773,125.148,912.0,834.0,760608.0,58570.5,11
156352855,34.915,434.0,371.0,161014.0,9525.5,3
156352858,66.472,476.0,677.0,322252.0,75517.0,5
156352860,104.137,404.0,1313.0,530452.0,115660.0,12
156359105,435.585,1475.0,1647.0,2429325.0,217261.5,35
156359109,140.034,533.0,1274.0,679042.0,150507.0,27
156359112,33.467,579.0,301.0,174279.0,46515.5,6
156360956,49.125,268.0,883.0,236644.0,36188.0,4
156886202,8.069,273.0,175.0,47775.0,18125.0,2
157756975,158.129,1135.0,715.0,811525.0,186870.5,20
157967280,56.336,307.0,853.0,261871.0,49775.0,3
158768955,192.456,686.0,1454.0,997444.0,106012.5,10
158974988,315.042,1198.0,1473.0,1764654.0,280669.5,96
159128651,12.398,195.0,216.0,42120.0,17605.5,3
159189383,19.936,270.0,306.0,82620.0,23702.5,4
159269575,149.414,1184.0,644.0,762496.0,221274.5,9
159844816,47.866,474.0,514.0,243636.0,34741.0,1
159860886,36.841,598.0,362.0,216476.0,38000.0,6
159860891,44.33,622.0,410.0,255020.0,62847.0,16
159935968,75.892,263.0,1792.0,471296.0,79247.5,5
160704716,45.812,445.0,376.0,167320.0,43251.0,8
162450366,18.966,318.0,302.0,96036.0,20026.0,3
163314900,31.586,201.0,1110.0,223110.0,115155.0,3
166290777,32.087,427.0,329.0,140483.0,41632.0,5
