,dlib_result,file,independent_result
3,0.879931496362162,4-Estado de Mexico-TEC.png,0.1684307680223082
0,0.8031069743051914,1-Estado de Mexico-TEC.png,0.19180198342074453
9,0.8833281260355422,Queretaro-TEC.png,0.4658455234844821
8,0.885250884173298,9-Estado de Mexico-TEC.png,0.6188159706287287
1,0.9139444842461473,2-Estado de Mexico-TEC.png,0.618946373730215
4,0.9491707144255601,5-Estado de Mexico-TEC.png,0.6694572296126389
6,0.9176089214903779,7-Estado de Mexico-TEC.png,0.6880145837456
5,0.954140285195177,6-Estado de Mexico-TEC.png,0.7202706787117574
2,0.8733666802776644,3-Estado de Mexico-TEC.png,0.7214133323352173
7,0.9250913021404825,8-Estado de Mexico-TEC.png,0.7642956524726454
